,time,x-acceleration,y-acceleration,z-acceleration,output
207,4.14,0.668,-0.039,0.521,drum
208,4.16,0.791,0.011,0.655,drum
209,4.18,1.102,0.032,0.937,drum
210,4.2,1.155,0.024,1.037,drum
211,4.22,0.698,-0.117,0.618,drum
212,4.24,0.524,0.095,0.266,drum
213,4.26,0.709,0.606,0.375,drum
214,4.28,0.048,0.527,0.246,drum
215,4.3,1.8,0.465,1.555,drum
216,4.32,1.895,-0.415,1.57,drum
217,4.34,0.059,-0.011,0.471,drum
218,4.36,-0.112,0.413,0.123,drum
219,4.38,0.845,0.259,0.317,drum
220,4.4,1.056,0.073,0.449,drum
221,4.42,0.784,0.243,0.463,drum
222,4.44,0.747,0.256,0.567,drum
223,4.46,0.769,0.219,0.593,drum
224,4.48,0.875,0.2,0.574,drum
225,4.5,0.91,0.186,0.58,drum
226,4.52,0.822,0.212,0.571,drum
227,4.54,0.761,0.243,0.526,drum
228,4.56,0.755,0.236,0.518,drum
229,4.58,0.754,0.211,0.543,drum
230,4.6,0.773,0.197,0.571,drum
231,4.62,0.752,0.203,0.559,drum
232,4.64,0.764,0.211,0.522,drum
233,4.66,0.885,0.209,0.527,drum
234,4.68,0.937,0.205,0.551,drum
235,4.7,0.908,0.202,0.576,drum
236,4.72,0.839,0.206,0.56,drum
237,4.74,0.805,0.212,0.553,drum
238,4.76,0.93,0.202,0.602,drum
239,4.78,1.07,0.155,0.728,drum
240,4.8,1.049,0.117,0.779,drum
241,4.82,0.989,0.12,0.806,drum
242,4.84,0.98,0.147,0.74,drum
243,4.86,0.947,0.108,0.619,drum
244,4.88,0.807,0.065,0.415,drum
245,4.9,0.613,0.043,0.302,drum
246,4.92,0.697,0.011,0.295,drum
247,4.94,0.765,-0.003,0.306,drum
248,4.96,0.766,0.0,0.327,drum
249,4.98,0.732,-0.07,0.286,drum
250,5.0,0.687,-0.074,0.293,drum
251,5.02,0.713,-0.105,0.321,drum
252,5.04,0.725,-0.121,0.355,drum
253,5.06,0.709,-0.135,0.374,drum
254,5.08,0.766,-0.147,0.39,drum
255,5.1,0.813,-0.099,0.416,drum
256,5.12,0.769,-0.046,0.392,drum
257,5.14,0.665,0.072,0.438,drum
258,5.16,0.651,0.137,0.678,drum
259,5.18,0.741,0.128,0.75,drum
260,5.2,0.877,0.196,0.624,drum
261,5.22,1.106,0.286,0.711,drum
262,5.24,1.319,0.385,1.191,drum
263,5.26,1.206,0.182,1.258,drum
264,5.28,0.182,0.095,0.315,drum
265,5.3,0.636,0.605,0.11,drum
266,5.32,0.611,0.484,-0.101,drum
267,5.34,1.605,0.54,1.095,drum
268,5.36,1.805,-0.181,1.512,drum
269,5.38,0.438,0.051,0.775,drum
270,5.4,0.488,0.332,0.549,drum
271,5.42,0.791,0.111,0.374,drum
272,5.44,0.789,0.079,0.219,drum
273,5.46,0.832,0.184,0.334,drum
274,5.48,0.705,0.128,0.459,drum
275,5.5,0.598,0.181,0.505,drum
276,5.52,0.701,0.163,0.564,drum
277,5.54,0.802,0.142,0.579,drum
278,5.56,0.827,0.169,0.549,drum
279,5.58,0.783,0.175,0.494,drum
280,5.6,0.753,0.178,0.47,drum
281,5.62,0.775,0.15,0.503,drum
282,5.64,0.809,0.127,0.548,drum
283,5.66,0.743,0.129,0.572,drum
284,5.68,0.668,0.145,0.502,drum
285,5.7,0.81,0.15,0.534,drum
286,5.72,0.928,0.109,0.605,drum
287,5.74,0.943,0.136,0.624,drum
288,5.76,0.959,0.141,0.642,drum
289,5.78,1.121,0.089,0.766,drum
290,5.8,1.026,0.085,0.806,drum
291,5.82,0.866,0.137,0.725,drum
292,5.84,0.919,0.13,0.608,drum
293,5.86,0.908,0.083,0.507,drum
294,5.88,0.796,0.064,0.426,drum
295,5.9,0.786,0.06,0.404,drum
296,5.92,0.836,0.02,0.407,drum
297,5.94,0.829,0.004,0.434,drum
298,5.96,0.821,-0.015,0.411,drum
299,5.98,0.83,-0.023,0.36,drum
300,6.0,0.804,-0.021,0.406,drum
301,6.02,0.75,-0.013,0.457,drum
302,6.04,0.739,-0.003,0.482,drum
303,6.06,0.73,-0.012,0.492,drum
304,6.08,0.679,-0.02,0.495,drum
305,6.1,0.648,-0.03,0.507,drum
306,6.12,0.658,-0.019,0.535,drum
307,6.14,0.656,-0.01,0.563,drum
308,6.16,0.692,0.03,0.574,drum
309,6.18,0.774,0.024,0.622,drum
310,6.2,0.836,0.001,0.64,drum
311,6.22,1.04,0.02,0.725,drum
312,6.24,1.058,-0.033,0.674,drum
313,6.26,0.755,-0.045,0.338,drum
314,6.28,0.814,0.299,0.173,drum
315,6.3,0.828,0.582,0.53,drum
316,6.32,0.024,0.222,0.617,drum
317,6.34,1.385,0.277,1.031,drum
318,6.36,2.0,-0.101,1.093,drum
319,6.38,0.962,-0.024,0.526,drum
320,6.4,0.406,0.212,0.314,drum
321,6.42,0.58,0.196,0.414,drum
322,6.44,0.669,0.12,0.399,drum
323,6.46,0.691,0.147,0.362,drum
324,6.48,0.82,0.129,0.436,drum
325,6.5,0.921,0.138,0.492,drum
326,6.52,0.923,0.146,0.539,drum
327,6.54,0.895,0.134,0.566,drum
328,6.56,0.843,0.143,0.525,drum
329,6.58,0.816,0.151,0.496,drum
330,6.6,0.823,0.128,0.529,drum
331,6.62,0.835,0.105,0.562,drum
332,6.64,0.85,0.107,0.539,drum
333,6.66,0.86,0.13,0.534,drum
334,6.68,0.843,0.155,0.564,drum
335,6.7,0.801,0.18,0.541,drum
336,6.72,0.863,0.193,0.55,drum
337,6.74,1.08,0.156,0.71,drum
338,6.76,1.016,0.12,0.782,drum
339,6.78,0.912,0.141,0.73,drum
340,6.8,1.041,0.131,0.7,drum
341,6.82,0.967,0.084,0.589,drum
342,6.84,0.905,0.069,0.496,drum
343,6.86,0.838,0.041,0.435,drum
344,6.88,0.742,0.02,0.405,drum
345,6.9,0.813,-0.018,0.436,drum
346,6.92,0.878,-0.059,0.396,drum
347,6.94,0.822,-0.067,0.331,drum
348,6.96,0.778,-0.075,0.354,drum
349,6.98,0.741,-0.09,0.376,drum
350,7.0,0.725,-0.083,0.388,drum
351,7.02,0.708,-0.086,0.41,drum
352,7.04,0.701,-0.09,0.442,drum
353,7.06,0.681,-0.093,0.479,drum
354,7.08,0.702,-0.104,0.481,drum
355,7.1,0.734,-0.09,0.433,drum
356,7.12,0.726,-0.061,0.419,drum
357,7.14,0.772,-0.033,0.451,drum
358,7.16,0.824,-0.029,0.514,drum
359,7.18,0.839,-0.008,0.637,drum
360,7.2,0.896,-0.018,0.751,drum
361,7.22,0.966,-0.028,0.804,drum
362,7.24,0.725,-0.055,0.51,drum
363,7.26,0.978,0.205,0.343,drum
364,7.28,0.99,0.461,0.759,drum
365,7.3,0.147,0.076,0.206,drum
366,7.32,0.328,0.631,0.562,drum
367,7.34,1.999,0.092,1.359,drum
368,7.36,1.655,-0.235,0.959,drum
369,7.38,0.521,0.155,0.413,drum
370,7.4,0.444,0.236,0.36,drum
371,7.42,0.695,0.09,0.405,drum
372,7.44,0.775,0.127,0.388,drum
373,7.46,0.757,0.156,0.414,drum
374,7.48,0.841,0.14,0.5,drum
375,7.5,0.922,0.143,0.535,drum
376,7.52,0.916,0.141,0.561,drum
377,7.54,0.874,0.151,0.567,drum
